symbol,direction,regime,fill_mode,T_pct,rank,entry_bucket,n,hit_pct,median_min_to_target,low_sample
AAPL,call,Fri-0DTE,market,100.0,6,12:00,3321,11.141,96.5,False
AAPL,call,Fri-0DTE,market,100.0,7,12:30,3220,9.255,88.0,False
AAPL,call,Fri-0DTE,market,100.0,8,13:00,3067,8.901,118.0,False
AAPL,call,Fri-0DTE,market,100.0,9,13:30,2941,8.841,105.0,False
AAPL,call,Fri-0DTE,market,100.0,10,14:00,2893,7.881,83.0,False
AAPL,call,Fri-0DTE,market,100.0,11,14:30,2841,7.216,60.0,False
AAPL,call,Fri-0DTE,market,100.0,12,15:00,2958,5.612,34.5,False
AAPL,call,Fri-0DTE,market,100.0,13,15:30,652,4.294,23.0,False
AAPL,put,Fri-0DTE,mid,30.0,1,11:00,3222,50.59,26.0,False
AAPL,put,Fri-0DTE,mid,30.0,2,10:00,3775,50.04,22.0,False
AAPL,put,Fri-0DTE,mid,30.0,3,10:30,3427,49.402,25.0,False
AAPL,put,Fri-0DTE,mid,30.0,4,11:30,3005,48.453,29.0,False
AAPL,put,Fri-0DTE,mid,30.0,5,09:30,3427,47.914,22.0,False
AAPL,put,Fri-0DTE,mid,30.0,6,13:00,2599,46.133,28.0,False
AAPL,put,Fri-0DTE,mid,30.0,7,12:00,2871,44.758,33.0,False
AAPL,put,Fri-0DTE,mid,30.0,8,12:30,2790,44.695,35.0,False
AAPL,put,Fri-0DTE,mid,30.0,9,13:30,2525,42.97,23.0,False
AAPL,put,Fri-0DTE,mid,30.0,10,14:30,2426,36.109,27.0,False
AAPL,put,Fri-0DTE,mid,30.0,11,14:00,2436,35.837,26.0,False
AAPL,put,Fri-0DTE,mid,30.0,12,15:00,2549,33.268,16.0,False
AAPL,put,Fri-0DTE,mid,30.0,13,15:30,584,24.829,11.0,False
AAPL,put,Fri-0DTE,mid,50.0,1,10:00,3775,38.384,31.0,False
AAPL,put,Fri-0DTE,mid,50.0,2,10:30,3427,37.088,40.0,False
AAPL,put,Fri-0DTE,mid,50.0,3,11:00,3222,36.282,43.0,False
AAPL,put,Fri-0DTE,mid,50.0,4,11:30,3005,35.874,45.0,False
AAPL,put,Fri-0DTE,mid,50.0,5,09:30,3427,35.629,37.0,False
AAPL,put,Fri-0DTE,mid,50.0,6,13:00,2599,33.09,40.0,False
AAPL,put,Fri-0DTE,mid,50.0,7,12:00,2871,32.254,51.5,False
AAPL,put,Fri-0DTE,mid,50.0,8,12:30,2790,32.043,50.0,False
AAPL,put,Fri-0DTE,mid,50.0,9,13:30,2525,28.752,28.0,False
AAPL,put,Fri-0DTE,mid,50.0,10,14:00,2436,24.138,40.0,False
AAPL,put,Fri-0DTE,mid,50.0,11,14:30,2426,23.825,34.0,False
AAPL,put,Fri-0DTE,mid,50.0,12,15:00,2549,21.342,20.0,False
AAPL,put,Fri-0DTE,mid,50.0,13,15:30,584,15.24,12.0,False
AAPL,put,Fri-0DTE,mid,75.0,1,10:00,3775,28.45,39.0,False
AAPL,put,Fri-0DTE,mid,75.0,2,10:30,3427,27.371,52.5,False
AAPL,put,Fri-0DTE,mid,75.0,3,11:00,3222,26.785,62.0,False
AAPL,put,Fri-0DTE,mid,75.0,4,11:30,3005,26.522,64.0,False
AAPL,put,Fri-0DTE,mid,75.0,5,09:30,3427,26.262,54.5,False
AAPL,put,Fri-0DTE,mid,75.0,6,13:00,2599,25.202,50.0,False
AAPL,put,Fri-0DTE,mid,75.0,7,12:30,2790,23.082,62.0,False
AAPL,put,Fri-0DTE,mid,75.0,8,12:00,2871,23.058,74.0,False
AAPL,put,Fri-0DTE,mid,75.0,9,13:30,2525,20.356,35.5,False
AAPL,put,Fri-0DTE,mid,75.0,10,14:30,2426,17.354,41.0,False
AAPL,put,Fri-0DTE,mid,75.0,11,14:00,2436,17.118,50.0,False
AAPL,put,Fri-0DTE,mid,75.0,12,15:00,2549,16.32,23.0,False
AAPL,put,Fri-0DTE,mid,75.0,13,15:30,584,10.445,13.0,False
AAPL,put,Fri-0DTE,mid,100.0,1,10:00,3775,23.391,43.0,False
AAPL,put,Fri-0DTE,mid,100.0,2,10:30,3427,21.126,57.5,False
AAPL,put,Fri-0DTE,mid,100.0,3,11:30,3005,20.632,69.0,False
AAPL,put,Fri-0DTE,mid,100.0,4,09:30,3427,20.397,60.0,False
AAPL,put,Fri-0DTE,mid,100.0,5,11:00,3222,20.236,77.0,False
AAPL,put,Fri-0DTE,mid,100.0,6,13:00,2599,19.777,55.0,False
AAPL,put,Fri-0DTE,mid,100.0,7,12:30,2790,18.602,73.0,False
AAPL,put,Fri-0DTE,mid,100.0,8,12:00,2871,17.659,83.0,False
AAPL,put,Fri-0DTE,mid,100.0,9,13:30,2525,16.0,44.0,False
AAPL,put,Fri-0DTE,mid,100.0,10,14:30,2426,13.644,44.0,False
AAPL,put,Fri-0DTE,mid,100.0,11,14:00,2436,13.013,50.0,False
AAPL,put,Fri-0DTE,mid,100.0,12,15:00,2549,12.907,24.0,False
AAPL,put,Fri-0DTE,mid,100.0,13,15:30,584,8.562,14.0,False
AAPL,put,Fri-0DTE,market,30.0,1,10:00,3775,33.351,32.0,False
AAPL,put,Fri-0DTE,market,30.0,2,11:00,3222,32.34,50.0,False
AAPL,put,Fri-0DTE,market,30.0,3,09:30,3427,32.273,40.0,False
AAPL,put,Fri-0DTE,market,30.0,4,10:30,3427,31.485,42.0,False
AAPL,put,Fri-0DTE,market,30.0,5,11:30,3005,31.082,54.0,False
AAPL,put,Fri-0DTE,market,30.0,6,12:00,2871,28.91,63.0,False
AAPL,put,Fri-0DTE,market,30.0,7,13:00,2599,28.742,46.0,False
AAPL,put,Fri-0DTE,market,30.0,8,12:30,2790,27.957,56.5,False
AAPL,put,Fri-0DTE,market,30.0,9,13:30,2525,24.99,38.0,False
AAPL,put,Fri-0DTE,market,30.0,10,14:00,2436,21.757,47.0,False
AAPL,put,Fri-0DTE,market,30.0,11,14:30,2426,21.105,42.0,False
AAPL,put,Fri-0DTE,market,30.0,12,15:00,2549,18.831,24.0,False
AAPL,put,Fri-0DTE,market,30.0,13,15:30,584,11.473,18.0,False
AAPL,put,Fri-0DTE,market,50.0,1,10:00,3775,25.828,42.0,False
AAPL,put,Fri-0DTE,market,50.0,2,09:30,3427,24.395,55.0,False
AAPL,put,Fri-0DTE,market,50.0,3,10:30,3427,24.336,60.5,False
AAPL,put,Fri-0DTE,market,50.0,4,11:00,3222,24.084,75.0,False
AAPL,put,Fri-0DTE,market,50.0,5,11:30,3005,23.661,78.0,False
AAPL,put,Fri-0DTE,market,50.0,6,13:00,2599,22.355,61.0,False
AAPL,put,Fri-0DTE,market,50.0,7,12:00,2871,21.63,77.0,False
AAPL,put,Fri-0DTE,market,50.0,8,12:30,2790,21.075,72.5,False
AAPL,put,Fri-0DTE,market,50.0,9,13:30,2525,18.455,50.0,False
AAPL,put,Fri-0DTE,market,50.0,10,14:00,2436,15.435,60.0,False
AAPL,put,Fri-0DTE,market,50.0,11,14:30,2426,14.056,46.0,False
AAPL,put,Fri-0DTE,market,50.0,12,15:00,2549,13.221,27.0,False
AAPL,put,Fri-0DTE,market,50.0,13,15:30,584,7.534,21.0,False
AAPL,put,Fri-0DTE,market,75.0,1,10:00,3775,20.053,55.0,False
AAPL,put,Fri-0DTE,market,75.0,2,09:30,3427,18.996,69.0,False
AAPL,put,Fri-0DTE,market,75.0,3,10:30,3427,18.238,76.0,False
AAPL,put,Fri-0DTE,market,75.0,4,11:30,3005,17.238,96.5,False
AAPL,put,Fri-0DTE,market,75.0,5,11:00,3222,17.101,98.0,False
AAPL,put,Fri-0DTE,market,75.0,6,13:00,2599,16.006,71.0,False
AAPL,put,Fri-0DTE,market,75.0,7,12:00,2871,15.43,98.0,False
AAPL,put,Fri-0DTE,market,75.0,8,12:30,2790,15.341,89.5,False
AAPL,put,Fri-0DTE,market,75.0,9,13:30,2525,14.02,63.0,False
AAPL,put,Fri-0DTE,market,75.0,10,14:00,2436,11.043,64.0,False
AAPL,put,Fri-0DTE,market,75.0,11,14:30,2426,10.14,51.5,False
AAPL,put,Fri-0DTE,market,75.0,12,15:00,2549,9.533,31.0,False
AAPL,put,Fri-0DTE,market,75.0,13,15:30,584,5.822,21.0,False
AAPL,put,Fri-0DTE,market,100.0,1,10:00,3775,15.709,69.0,False
AAPL,put,Fri-0DTE,market,100.0,2,09:30,3427,14.823,74.5,False
AAPL,put,Fri-0DTE,market,100.0,3,10:30,3427,14.473,90.0,False
AAPL,put,Fri-0DTE,market,100.0,4,11:30,3005,12.779,107.0,False
AAPL,put,Fri-0DTE,market,100.0,5,11:00,3222,12.663,111.0,False
AAPL,put,Fri-0DTE,market,100.0,6,13:00,2599,12.197,83.0,False
AAPL,put,Fri-0DTE,market,100.0,7,12:30,2790,11.792,102.0,False
AAPL,put,Fri-0DTE,market,100.0,8,12:00,2871,11.076,101.0,False
AAPL,put,Fri-0DTE,market,100.0,9,13:30,2525,10.891,73.0,False
AAPL,put,Fri-0DTE,market,100.0,10,14:00,2436,8.128,64.5,False
AAPL,put,Fri-0DTE,market,100.0,11,14:30,2426,7.255,54.0,False
AAPL,put,Fri-0DTE,market,100.0,12,15:00,2549,6.944,30.0,False
AAPL,put,Fri-0DTE,market,100.0,13,15:30,584,4.281,22.0,False
AAPL,call,Wed-0DTE,mid,30.0,1,09:30,749,65.688,16.0,False
AAPL,call,Wed-0DTE,mid,30.0,2,10:30,766,63.316,24.0,False
AAPL,call,Wed-0DTE,mid,30.0,3,10:00,834,62.23,25.0,False
AAPL,call,Wed-0DTE,mid,30.0,4,11:00,710,59.437,21.0,False
AAPL,call,Wed-0DTE,mid,30.0,5,11:30,685,56.642,28.0,False
AAPL,call,Wed-0DTE,mid,30.0,6,12:00,621,48.631,21.5,False
AAPL,call,Wed-0DTE,mid,30.0,7,12:30,615,47.48,23.0,False
AAPL,call,Wed-0DTE,mid,30.0,8,13:00,587,42.589,26.5,False
AAPL,call,Wed-0DTE,mid,30.0,9,13:30,556,36.691,16.5,False
AAPL,call,Wed-0DTE,mid,30.0,10,15:00,521,31.094,15.0,False
AAPL,call,Wed-0DTE,mid,30.0,11,14:30,536,30.784,20.0,False
AAPL,call,Wed-0DTE,mid,30.0,12,14:00,539,30.427,19.5,False
AAPL,call,Wed-0DTE,mid,30.0,13,15:30,139,24.46,10.0,False
AAPL,call,Wed-0DTE,mid,50.0,1,09:30,749,54.339,26.0,False
AAPL,call,Wed-0DTE,mid,50.0,2,10:00,834,50.48,41.0,False
AAPL,call,Wed-0DTE,mid,50.0,3,10:30,766,50.131,36.0,False
AAPL,call,Wed-0DTE,mid,50.0,4,11:00,710,46.901,29.0,False
AAPL,call,Wed-0DTE,mid,50.0,5,11:30,685,42.19,39.0,False
AAPL,call,Wed-0DTE,mid,50.0,6,12:00,621,37.037,25.0,False
AAPL,call,Wed-0DTE,mid,50.0,7,12:30,615,30.407,22.0,False
AAPL,call,Wed-0DTE,mid,50.0,8,13:00,587,25.724,29.0,False
AAPL,call,Wed-0DTE,mid,50.0,9,13:30,556,21.223,24.5,False
AAPL,call,Wed-0DTE,mid,50.0,10,15:00,521,21.113,26.0,False
AAPL,call,Wed-0DTE,mid,50.0,11,14:30,536,17.91,38.0,False
AAPL,call,Wed-0DTE,mid,50.0,12,14:00,539,15.584,27.0,False
AAPL,call,Wed-0DTE,mid,50.0,13,15:30,139,14.388,13.0,False
AAPL,call,Wed-0DTE,mid,75.0,1,09:30,749,45.794,45.0,False
AAPL,call,Wed-0DTE,mid,75.0,2,10:00,834,41.007,61.0,False
AAPL,call,Wed-0DTE,mid,75.0,3,11:00,710,38.169,43.0,False
AAPL,call,Wed-0DTE,mid,75.0,4,10:30,766,37.99,44.0,False
AAPL,call,Wed-0DTE,mid,75.0,5,11:30,685,32.263,54.0,False
AAPL,call,Wed-0DTE,mid,75.0,6,12:00,621,29.63,29.0,False
AAPL,call,Wed-0DTE,mid,75.0,7,12:30,615,20.976,32.0,False
AAPL,call,Wed-0DTE,mid,75.0,8,13:00,587,17.376,37.0,False
AAPL,call,Wed-0DTE,mid,75.0,9,15:00,521,15.931,29.0,False
AAPL,call,Wed-0DTE,mid,75.0,10,13:30,556,13.309,39.5,False
AAPL,call,Wed-0DTE,mid,75.0,11,14:30,536,12.5,40.0,False
AAPL,call,Wed-0DTE,mid,75.0,12,14:00,539,10.39,44.0,False
AAPL,call,Wed-0DTE,mid,75.0,13,15:30,139,10.072,19.0,False
AAPL,call,Wed-0DTE,mid,100.0,1,09:30,749,38.585,65.0,False
AAPL,call,Wed-0DTE,mid,100.0,2,10:00,834,34.532,68.5,False
AAPL,call,Wed-0DTE,mid,100.0,3,10:30,766,32.115,51.5,False
AAPL,call,Wed-0DTE,mid,100.0,4,11:00,710,31.408,72.0,False
AAPL,call,Wed-0DTE,mid,100.0,5,11:30,685,26.569,59.0,False
AAPL,call,Wed-0DTE,mid,100.0,6,12:00,621,24.96,32.0,False
AAPL,call,Wed-0DTE,mid,100.0,7,12:30,615,15.447,39.0,False
AAPL,call,Wed-0DTE,mid,100.0,8,15:00,521,13.052,29.0,False
AAPL,call,Wed-0DTE,mid,100.0,9,13:00,587,12.606,39.5,False
AAPL,call,Wed-0DTE,mid,100.0,10,13:30,556,10.612,55.0,False
AAPL,call,Wed-0DTE,mid,100.0,11,14:30,536,8.582,40.0,False
AAPL,call,Wed-0DTE,mid,100.0,12,14:00,539,8.163,64.5,False
AAPL,call,Wed-0DTE,mid,100.0,13,15:30,139,5.036,18.0,False
AAPL,call,Wed-0DTE,market,30.0,1,09:30,749,50.601,30.0,False
AAPL,call,Wed-0DTE,market,30.0,2,10:00,834,49.4,45.0,False
AAPL,call,Wed-0DTE,market,30.0,3,10:30,766,48.172,40.0,False
AAPL,call,Wed-0DTE,market,30.0,4,11:00,710,42.958,36.0,False
AAPL,call,Wed-0DTE,market,30.0,5,11:30,685,39.416,47.0,False
AAPL,call,Wed-0DTE,market,30.0,6,12:00,621,32.85,28.0,False
AAPL,call,Wed-0DTE,market,30.0,7,12:30,615,28.293,39.5,False
AAPL,call,Wed-0DTE,market,30.0,8,13:00,587,23.85,36.0,False
AAPL,call,Wed-0DTE,market,30.0,9,13:30,556,19.784,41.0,False
AAPL,call,Wed-0DTE,market,30.0,10,15:00,521,18.618,27.0,False
AAPL,call,Wed-0DTE,market,30.0,11,14:30,536,17.724,41.0,False
AAPL,call,Wed-0DTE,market,30.0,12,14:00,539,17.625,42.0,False
AAPL,call,Wed-0DTE,market,30.0,13,15:30,139,13.669,21.0,False
AAPL,call,Wed-0DTE,market,50.0,1,09:30,749,43.258,45.0,False
AAPL,call,Wed-0DTE,market,50.0,2,10:00,834,40.767,63.5,False
AAPL,call,Wed-0DTE,market,50.0,3,10:30,766,38.12,52.5,False
AAPL,call,Wed-0DTE,market,50.0,4,11:00,710,35.07,64.0,False
AAPL,call,Wed-0DTE,market,50.0,5,11:30,685,30.657,55.0,False
AAPL,call,Wed-0DTE,market,50.0,6,12:00,621,27.697,34.0,False
AAPL,call,Wed-0DTE,market,50.0,7,12:30,615,18.374,51.0,False
AAPL,call,Wed-0DTE,market,50.0,8,13:00,587,16.014,48.0,False
AAPL,call,Wed-0DTE,market,50.0,9,15:00,521,14.587,31.0,False
AAPL,call,Wed-0DTE,market,50.0,10,13:30,556,12.95,65.0,False
AAPL,call,Wed-0DTE,market,50.0,11,14:30,536,12.687,46.5,False
AAPL,call,Wed-0DTE,market,50.0,12,14:00,539,10.575,61.0,False
AAPL,call,Wed-0DTE,market,50.0,13,15:30,139,8.633,21.0,False
AAPL,call,Wed-0DTE,market,75.0,1,09:30,749,36.449,67.0,False
AAPL,call,Wed-0DTE,market,75.0,2,10:00,834,32.014,68.0,False
AAPL,call,Wed-0DTE,market,75.0,3,10:30,766,28.068,64.0,False
AAPL,call,Wed-0DTE,market,75.0,4,11:00,710,25.915,82.0,False
AAPL,call,Wed-0DTE,market,75.0,5,11:30,685,23.796,66.0,False
AAPL,call,Wed-0DTE,market,75.0,6,12:00,621,22.866,42.0,False
AAPL,call,Wed-0DTE,market,75.0,7,12:30,615,12.683,70.0,False
AAPL,call,Wed-0DTE,market,75.0,8,13:00,587,10.051,55.0,False
AAPL,call,Wed-0DTE,market,75.0,9,15:00,521,9.597,34.5,False
AAPL,call,Wed-0DTE,market,75.0,10,13:30,556,8.993,78.5,False
AAPL,call,Wed-0DTE,market,75.0,11,14:30,536,8.209,45.5,False
AAPL,call,Wed-0DTE,market,75.0,12,14:00,539,7.236,76.0,False
AAPL,call,Wed-0DTE,market,75.0,13,15:30,139,5.036,22.0,False
AAPL,call,Wed-0DTE,market,100.0,1,09:30,749,30.708,93.0,False
AAPL,call,Wed-0DTE,market,100.0,2,10:00,834,26.139,74.5,False
AAPL,call,Wed-0DTE,market,100.0,3,10:30,766,22.585,99.0,False
AAPL,call,Wed-0DTE,market,100.0,4,11:00,710,20.141,89.0,False
AAPL,call,Wed-0DTE,market,100.0,5,11:30,685,18.832,70.0,False
AAPL,call,Wed-0DTE,market,100.0,6,12:00,621,17.874,44.0,False
AAPL,call,Wed-0DTE,market,100.0,7,12:30,615,9.431,75.5,False
AAPL,call,Wed-0DTE,market,100.0,8,13:00,587,6.985,58.0,False
AAPL,call,Wed-0DTE,market,100.0,9,15:00,521,6.91,33.5,False
AAPL,call,Wed-0DTE,market,100.0,10,13:30,556,5.935,71.0,False
AAPL,call,Wed-0DTE,market,100.0,11,14:30,536,5.784,46.0,False
AAPL,call,Wed-0DTE,market,100.0,12,14:00,539,4.824,84.0,False
AAPL,call,Wed-0DTE,market,100.0,13,15:30,139,4.317,23.0,False
AAPL,put,Wed-0DTE,mid,30.0,1,14:00,467,59.743,20.0,False
AAPL,put,Wed-0DTE,mid,30.0,2,13:30,481,59.044,33.5,False
AAPL,put,Wed-0DTE,mid,30.0,3,13:00,513,56.335,41.0,False
AAPL,put,Wed-0DTE,mid,30.0,4,11:00,650,54.769,20.0,False
AAPL,put,Wed-0DTE,mid,30.0,5,14:30,470,51.064,14.0,False
AAPL,put,Wed-0DTE,mid,30.0,6,12:30,538,50.558,32.0,False
AAPL,put,Wed-0DTE,mid,30.0,7,10:00,758,50.132,18.5,False
AAPL,put,Wed-0DTE,mid,30.0,8,11:30,623,49.117,40.5,False
AAPL,put,Wed-0DTE,mid,30.0,9,10:30,715,48.252,23.0,False
AAPL,put,Wed-0DTE,mid,30.0,10,09:30,710,45.915,10.0,False
AAPL,put,Wed-0DTE,mid,30.0,11,12:00,562,45.907,26.0,False
AAPL,put,Wed-0DTE,mid,30.0,12,15:00,449,40.98,17.0,False
AAPL,put,Wed-0DTE,mid,30.0,13,15:30,121,21.488,11.5,False
AAPL,put,Wed-0DTE,mid,50.0,1,13:30,481,45.53,47.0,False
AAPL,put,Wed-0DTE,mid,50.0,2,14:00,467,43.469,25.0,False
