# Backtest method: MAX RELIABILITY (win_rate only)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:12:02  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Monday,2025-06-23,TSLA,TSLA250623C00350000,350.0,SIM,3:05 PM,0.9332,3:15 PM,0.9335,0.0003,0.03,True,
Monday,2025-06-30,TSLA,TSLA250630C00320000,320.0,SIM,3:05 PM,0.5453,3:15 PM,0.3066,-0.2387,-23.87,False,
Monday,2025-07-07,TSLA,TSLA250707C00292500,292.5,SIM,3:05 PM,1.196,3:15 PM,1.5658,0.3698,36.98,True,
Monday,2025-07-14,TSLA,TSLA250714C00315000,315.0,SIM,3:04 PM,1.7855,3:15 PM,1.8898,0.1043,10.43,True,
Monday,2025-07-21,TSLA,TSLA250721C00330000,330.0,SIM,3:05 PM,0.5702,3:15 PM,0.5616,-0.0085,-0.85,False,
Monday,2025-07-28,TSLA,TSLA250728C00327500,327.5,SIM,3:05 PM,1.0889,3:15 PM,1.331,0.2422,24.22,True,
Monday,2025-08-04,TSLA,TSLA250804C00310000,310.0,SIM,3:05 PM,0.8708,3:15 PM,1.1675,0.2968,29.68,True,
Monday,2025-08-11,TSLA,TSLA250811C00342500,342.5,SIM,3:05 PM,1.0671,3:15 PM,0.8017,-0.2654,-26.54,False,
Monday,2025-08-18,TSLA,TSLA250818C00335000,335.0,SIM,3:04 PM,1.3849,3:15 PM,1.1085,-0.2764,-27.64,False,
Monday,2025-08-25,TSLA,TSLA250825C00347500,347.5,SIM,3:05 PM,1.3262,3:15 PM,2.2692,0.943,94.3,True,
Monday,2025-09-08,TSLA,TSLA250908C00347500,347.5,SIM,3:05 PM,0.7866,3:15 PM,0.4825,-0.3041,-30.41,False,
Monday,2025-09-15,TSLA,TSLA250915C00407500,407.5,SIM,3:05 PM,1.852,3:15 PM,1.8662,0.0142,1.42,True,
Monday,2025-09-22,TSLA,TSLA250922C00435000,435.0,SIM,3:05 PM,0.9372,3:15 PM,0.9497,0.0124,1.24,True,
Monday,2025-09-29,TSLA,TSLA250929C00442500,442.5,SIM,3:05 PM,1.4156,3:15 PM,0.6235,-0.7921,-79.21,False,
Monday,2025-10-06,TSLA,TSLA251006C00450000,450.0,SIM,3:05 PM,2.3592,3:15 PM,3.6625,1.3033,130.33,True,
Monday,2025-10-13,TSLA,TSLA251013C00432500,432.5,SIM,3:05 PM,1.4447,3:15 PM,2.3394,0.8947,89.47,True,
Monday,2025-10-20,TSLA,TSLA251020C00447500,447.5,SIM,3:05 PM,0.819,3:15 PM,0.5049,-0.314,-31.4,False,
Monday,2025-10-27,TSLA,TSLA251027C00455000,455.0,SIM,3:05 PM,1.1874,3:15 PM,0.3623,-0.8251,-82.51,False,
Monday,2025-11-03,TSLA,TSLA251103C00470000,470.0,SIM,3:05 PM,1.183,3:15 PM,0.9324,-0.2507,-25.07,False,
Monday,2025-11-10,TSLA,TSLA251110C00445000,445.0,SIM,3:05 PM,1.9604,3:15 PM,1.1116,-0.8488,-84.88,False,
Monday,2025-11-17,TSLA,TSLA251117C00405000,405.0,SIM,3:05 PM,2.4436,3:15 PM,1.9908,-0.4528,-45.28,False,
Monday,2025-11-24,TSLA,TSLA251124C00417500,417.5,SIM,3:05 PM,2.2402,3:15 PM,1.2173,-1.0229,-102.29,False,
Monday,2025-12-01,TSLA,TSLA251201C00427500,427.5,SIM,3:05 PM,1.2489,3:15 PM,1.4278,0.1789,17.89,True,
Monday,2025-12-08,TSLA,TSLA251208C00437500,437.5,SIM,3:05 PM,1.3432,3:15 PM,1.5675,0.2242,22.42,True,
Monday,2025-12-15,TSLA,TSLA251215C00477500,477.5,SIM,3:05 PM,1.6553,3:15 PM,1.7509,0.0956,9.56,True,
Monday,2025-12-22,TSLA,TSLA251222C00492500,492.5,SIM,3:05 PM,2.0268,3:15 PM,0.4301,-1.5968,-159.68,False,
Monday,2025-12-29,TSLA,TSLA251229C00462500,462.5,SIM,3:05 PM,2.3424,3:15 PM,1.7847,-0.5577,-55.77,False,
Monday,2026-01-05,TSLA,TSLA260105C00455000,455.0,SIM,3:05 PM,1.3821,3:15 PM,1.5669,0.1848,18.48,True,
