# Backtest method: MAX RELIABILITY (win_rate only)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:59:35  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Friday,2026-02-06,NVDA,NVDA260206C00185000,185.0,REAL,3:00 PM,0.34,3:05 PM,0.56,0.22,22.0,True,
Friday,2026-02-13,NVDA,NVDA260213C00185000,185.0,REAL,3:00 PM,0.04,3:05 PM,0.05,0.01,1.0,True,
Friday,2026-02-20,NVDA,NVDA260220C00190000,190.0,REAL,3:00 PM,0.11,3:05 PM,0.19,0.08,8.0,True,
Friday,2026-02-27,NVDA,NVDA260227C00180000,180.0,REAL,3:00 PM,0.23,3:05 PM,0.16,-0.07,-7.0,False,
Friday,2026-03-06,NVDA,NVDA260306C00180000,180.0,REAL,3:00 PM,0.43,3:05 PM,0.46,0.03,3.0,True,
Friday,2026-03-13,NVDA,NVDA260313C00180000,180.0,REAL,3:00 PM,1.01,3:05 PM,0.93,-0.08,-8.0,False,
Friday,2026-03-20,NVDA,NVDA260320C00175000,175.0,REAL,3:00 PM,0.11,3:05 PM,0.06,-0.05,-5.0,False,
Friday,2026-03-27,NVDA,NVDA260327C00165000,165.0,REAL,3:00 PM,2.5,3:05 PM,2.48,-0.02,-2.0,False,
Friday,2026-04-10,NVDA,NVDA260410C00190000,190.0,REAL,3:00 PM,0.03,3:05 PM,0.05,0.02,2.0,True,
Friday,2026-04-17,NVDA,NVDA260417C00200000,200.0,REAL,3:00 PM,0.94,3:05 PM,0.84,-0.1,-10.0,False,
Friday,2026-04-24,NVDA,NVDA260424C00207500,207.5,REAL,3:00 PM,0.89,3:05 PM,0.85,-0.04,-4.0,False,
Friday,2026-05-01,NVDA,NVDA260501C00200000,200.0,REAL,3:00 PM,0.03,3:05 PM,0.04,0.01,1.0,True,
Friday,2026-05-08,NVDA,NVDA260508C00215000,215.0,REAL,3:00 PM,0.44,3:05 PM,0.5,0.06,6.0,True,
Friday,2026-05-15,NVDA,NVDA260515C00230000,230.0,REAL,3:00 PM,0.3,3:05 PM,0.23,-0.07,-7.0,False,
Friday,2026-05-22,NVDA,NVDA260522C00215000,215.0,REAL,3:00 PM,1.02,3:05 PM,1.15,0.13,13.0,True,
Friday,2026-05-29,NVDA,NVDA260529C00217500,217.5,REAL,3:00 PM,0.28,3:05 PM,0.43,0.15,15.0,True,
Friday,2026-06-05,NVDA,NVDA260605C00205000,205.0,REAL,3:00 PM,1.0,3:05 PM,1.46,0.46,46.0,True,
Friday,2025-06-13,TSLA,TSLA250613C00325000,325.0,REAL,3:40 PM,2.61,3:55 PM,0.48,-2.13,-213.0,False,
Friday,2025-06-20,TSLA,TSLA250620C00322500,322.5,REAL,3:40 PM,0.5,3:55 PM,0.24,-0.26,-26.0,False,
Friday,2025-06-27,TSLA,TSLA250627C00320000,320.0,REAL,3:40 PM,3.0,3:55 PM,3.4,0.4,40.0,True,
Friday,2025-07-11,TSLA,TSLA250711C00312500,312.5,REAL,3:40 PM,1.05,3:55 PM,1.25,0.2,20.0,True,
Friday,2025-07-18,TSLA,TSLA250718C00330000,330.0,REAL,3:40 PM,0.09,3:55 PM,0.05,-0.04,-4.0,False,
Friday,2025-07-25,TSLA,TSLA250725C00315000,315.0,REAL,3:40 PM,0.73,3:55 PM,1.01,0.28,28.0,True,
Friday,2025-08-01,TSLA,TSLA250801C00302500,302.5,REAL,3:40 PM,0.65,3:55 PM,0.67,0.02,2.0,True,
Friday,2025-08-08,TSLA,TSLA250808C00330000,330.0,REAL,3:40 PM,0.05,3:55 PM,0.06,0.01,1.0,True,
Friday,2025-08-15,TSLA,TSLA250815C00327500,327.5,REAL,3:40 PM,2.39,3:55 PM,2.81,0.42,42.0,True,
Friday,2025-08-22,TSLA,TSLA250822C00340000,340.0,REAL,3:40 PM,0.05,3:55 PM,0.11,0.06,6.0,True,
Friday,2025-08-29,TSLA,TSLA250829C00332500,332.5,REAL,3:40 PM,0.79,3:55 PM,1.35,0.56,56.0,True,
Friday,2025-09-05,TSLA,TSLA250905C00347500,347.5,REAL,3:40 PM,1.25,3:55 PM,3.5,2.25,225.0,True,
Friday,2025-09-12,TSLA,TSLA250912C00395000,395.0,REAL,3:40 PM,0.16,3:55 PM,0.65,0.49,49.0,True,
Friday,2025-09-19,TSLA,TSLA250919C00425000,425.0,REAL,3:40 PM,1.03,3:55 PM,1.42,0.39,39.0,True,
Friday,2025-09-26,TSLA,TSLA250926C00437500,437.5,REAL,3:40 PM,1.79,3:55 PM,2.28,0.49,49.0,True,
Friday,2025-10-03,TSLA,TSLA251003C00425000,425.0,REAL,3:40 PM,3.0,3:55 PM,4.5,1.5,150.0,True,
Friday,2025-10-10,TSLA,TSLA251010C00417500,417.5,REAL,3:40 PM,0.16,3:55 PM,0.04,-0.12,-12.0,False,
Friday,2025-10-17,TSLA,TSLA251017C00437500,437.5,REAL,3:40 PM,1.29,3:55 PM,1.68,0.39,39.0,True,
Friday,2025-10-24,TSLA,TSLA251024C00432500,432.5,REAL,3:40 PM,0.46,3:55 PM,1.26,0.8,80.0,True,
Friday,2025-10-31,TSLA,TSLA251031C00452500,452.5,REAL,3:40 PM,1.46,3:55 PM,3.8,2.34,234.0,True,
Friday,2025-11-07,TSLA,TSLA251107C00437500,437.5,REAL,3:40 PM,0.07,3:54 PM,0.01,-0.06,-6.0,False,
Friday,2025-11-14,TSLA,TSLA251114C00410000,410.0,REAL,3:40 PM,0.05,3:55 PM,0.01,-0.04,-4.0,False,
Friday,2025-11-21,TSLA,TSLA251121C00397500,397.5,REAL,3:40 PM,0.35,3:55 PM,0.01,-0.34,-34.0,False,
Friday,2025-12-05,TSLA,TSLA251205C00455000,455.0,REAL,3:40 PM,0.41,3:55 PM,0.31,-0.1,-10.0,False,
Friday,2025-12-12,TSLA,TSLA251212C00452500,452.5,REAL,3:40 PM,3.35,3:55 PM,5.7,2.35,235.0,True,
Friday,2025-12-19,TSLA,TSLA251219C00482500,482.5,REAL,3:40 PM,0.71,3:55 PM,0.42,-0.29,-29.0,False,
