# Backtest method: MAX RELIABILITY (win_rate only)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:09:24  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2026-03-04,AAPL,AAPL260304C00262500,262.5,REAL,3:10 PM,0.62,3:15 PM,0.46,-0.16,-16.0,False,
2026-03-06,AAPL,AAPL260306C00257500,257.5,REAL,3:10 PM,0.35,3:15 PM,0.53,0.18,18.0,True,
2026-03-09,AAPL,AAPL260309C00257500,257.5,REAL,3:10 PM,0.27,3:15 PM,0.25,-0.02,-2.0,False,
2026-03-11,AAPL,AAPL260311C00260000,260.0,REAL,3:10 PM,0.35,3:15 PM,0.3,-0.05,-5.0,False,
2026-03-13,AAPL,AAPL260313C00250000,250.0,REAL,3:10 PM,1.17,3:15 PM,1.02,-0.15,-15.0,False,
2026-03-16,AAPL,AAPL260316C00252500,252.5,REAL,3:10 PM,0.87,3:17 PM,0.59,-0.28,-28.0,False,
2026-03-18,AAPL,AAPL260318C00250000,250.0,REAL,3:10 PM,0.61,3:15 PM,0.48,-0.13,-13.0,False,
2026-03-20,AAPL,AAPL260320C00250000,250.0,REAL,3:10 PM,0.19,3:15 PM,0.16,-0.03,-3.0,False,
2026-03-23,AAPL,AAPL260323C00252500,252.5,REAL,3:10 PM,0.18,3:15 PM,0.16,-0.02,-2.0,False,
2026-03-25,AAPL,AAPL260325C00252500,252.5,REAL,3:10 PM,0.44,3:15 PM,0.56,0.12,12.0,True,
2026-03-27,AAPL,AAPL260327C00247500,247.5,REAL,3:10 PM,1.05,3:15 PM,1.53,0.48,48.0,True,
2026-03-30,AAPL,AAPL260330C00247500,247.5,REAL,3:10 PM,0.06,3:15 PM,0.05,-0.01,-1.0,False,
2026-04-01,AAPL,AAPL260401C00255000,255.0,REAL,3:10 PM,0.18,3:15 PM,0.31,0.13,13.0,True,
2026-04-06,AAPL,AAPL260406C00260000,260.0,REAL,3:10 PM,0.03,3:15 PM,0.03,0.0,0.0,False,
2026-04-08,AAPL,AAPL260408C00257500,257.5,REAL,3:10 PM,0.41,3:15 PM,0.5,0.09,9.0,True,
2026-04-10,AAPL,AAPL260410C00260000,260.0,REAL,3:10 PM,0.18,3:15 PM,0.2,0.02,2.0,True,
2026-04-13,AAPL,AAPL260413C00257500,257.5,REAL,3:10 PM,0.54,3:15 PM,0.59,0.05,5.0,True,
2026-04-15,AAPL,AAPL260415C00265000,265.0,REAL,3:10 PM,0.7,3:15 PM,0.6,-0.1,-10.0,False,
2026-04-17,AAPL,AAPL260417C00270000,270.0,REAL,3:10 PM,0.23,3:15 PM,0.21,-0.02,-2.0,False,
2026-04-20,AAPL,AAPL260420C00272500,272.5,REAL,3:10 PM,0.65,3:15 PM,0.73,0.08,8.0,True,
2026-04-22,AAPL,AAPL260422C00272500,272.5,REAL,3:10 PM,0.32,3:15 PM,0.26,-0.06,-6.0,False,
2026-04-24,AAPL,AAPL260424C00270000,270.0,REAL,3:10 PM,0.44,3:15 PM,0.46,0.02,2.0,True,
2026-04-27,AAPL,AAPL260427C00267500,267.5,REAL,3:10 PM,0.1,3:15 PM,0.13,0.03,3.0,True,
2026-04-29,AAPL,AAPL260429C00270000,270.0,REAL,3:10 PM,0.69,3:15 PM,0.59,-0.1,-10.0,False,
2026-05-01,AAPL,AAPL260501C00280000,280.0,REAL,3:10 PM,0.92,3:15 PM,0.88,-0.04,-4.0,False,
2026-05-04,AAPL,AAPL260504C00277500,277.5,REAL,3:10 PM,0.1,3:15 PM,0.16,0.06,6.0,True,
2026-05-06,AAPL,AAPL260506C00287500,287.5,REAL,3:10 PM,0.3,3:15 PM,0.31,0.01,1.0,True,
2026-05-08,AAPL,AAPL260508C00292500,292.5,REAL,3:10 PM,0.49,3:15 PM,0.77,0.28,28.0,True,
2026-05-11,AAPL,AAPL260511C00292500,292.5,REAL,3:10 PM,0.07,3:15 PM,0.08,0.01,1.0,True,
2026-05-13,AAPL,AAPL260513C00300000,300.0,REAL,3:10 PM,0.09,3:15 PM,0.08,-0.01,-1.0,False,
2026-05-15,AAPL,AAPL260515C00302500,302.5,REAL,3:10 PM,0.05,3:15 PM,0.04,-0.01,-1.0,False,
2026-05-18,AAPL,AAPL260518C00297500,297.5,REAL,3:10 PM,0.21,3:15 PM,0.12,-0.09,-9.0,False,
2026-05-20,AAPL,AAPL260520C00302500,302.5,REAL,3:10 PM,0.15,3:15 PM,0.25,0.1,10.0,True,
2026-05-22,AAPL,AAPL260522C00310000,310.0,REAL,3:10 PM,0.08,3:15 PM,0.06,-0.02,-2.0,False,
2026-05-27,AAPL,AAPL260527C00310000,310.0,REAL,3:10 PM,0.54,3:15 PM,0.7,0.16,16.0,True,
2026-05-29,AAPL,AAPL260529C00310000,310.0,REAL,3:10 PM,1.35,3:15 PM,1.58,0.23,23.0,True,
2026-06-01,AAPL,AAPL260601C00307500,307.5,REAL,3:10 PM,0.71,3:15 PM,0.45,-0.26,-26.0,False,
2026-06-03,AAPL,AAPL260603C00310000,310.0,REAL,3:10 PM,0.23,3:15 PM,0.33,0.1,10.0,True,
2026-06-05,AAPL,AAPL260605C00310000,310.0,REAL,3:10 PM,0.22,3:15 PM,0.12,-0.1,-10.0,False,
2026-06-08,AAPL,AAPL260608C00305000,305.0,REAL,3:10 PM,0.49,3:15 PM,0.77,0.28,28.0,True,
2026-06-10,AAPL,AAPL260610C00292500,292.5,REAL,3:10 PM,0.75,3:15 PM,0.56,-0.19,-19.0,False,
2025-06-13,NVDA,NVDA250613C00140000,140.0,REAL,3:30 PM,1.87,3:40 PM,1.93,0.06,6.0,True,
2025-06-16,NVDA,NVDA250616C00145000,145.0,SIM,3:30 PM,0.3046,3:40 PM,0.1487,-0.1559,-15.59,False,
2025-06-18,NVDA,NVDA250618C00145000,145.0,SIM,3:30 PM,0.1106,3:40 PM,0.2205,0.1099,10.99,True,
2025-06-20,NVDA,NVDA250620C00145000,145.0,REAL,3:30 PM,0.02,3:40 PM,0.01,-0.01,-1.0,False,
2025-06-23,NVDA,NVDA250623C00145000,145.0,SIM,3:30 PM,0.0356,3:40 PM,0.0106,-0.025,-2.5,False,
2025-06-25,NVDA,NVDA250625C00155000,155.0,SIM,3:30 PM,0.0406,3:40 PM,0.0133,-0.0273,-2.73,False,
2025-06-27,NVDA,NVDA250627C00155000,155.0,REAL,3:30 PM,1.63,3:40 PM,2.07,0.44,44.0,True,
2025-06-30,NVDA,NVDA250630C00160000,160.0,SIM,3:30 PM,0.005,3:40 PM,0.0028,-0.0022,-0.22,False,
2025-07-02,NVDA,NVDA250702C00155000,155.0,SIM,3:30 PM,1.891,3:40 PM,2.0028,0.1118,11.18,True,
2025-07-07,NVDA,NVDA250707C00160000,160.0,SIM,3:30 PM,0.0221,3:40 PM,0.0049,-0.0172,-1.72,False,
2025-07-09,NVDA,NVDA250709C00165000,165.0,SIM,3:30 PM,0.0061,3:40 PM,0.0011,-0.005,-0.5,False,
2025-07-11,NVDA,NVDA250711C00165000,165.0,REAL,3:30 PM,0.16,3:40 PM,0.17,0.01,1.0,True,
2025-07-14,NVDA,NVDA250714C00165000,165.0,SIM,3:30 PM,0.1396,3:40 PM,0.1169,-0.0227,-2.27,False,
2025-07-16,NVDA,NVDA250716C00170000,170.0,SIM,3:30 PM,0.9979,3:40 PM,1.3958,0.398,39.8,True,
2025-07-18,NVDA,NVDA250718C00170000,170.0,REAL,3:30 PM,2.16,3:40 PM,1.87,-0.29,-29.0,False,
2025-07-21,NVDA,NVDA250721C00170000,170.0,SIM,3:30 PM,2.0478,3:40 PM,2.059,0.0112,1.12,True,
2025-07-23,NVDA,NVDA250723C00170000,170.0,SIM,3:30 PM,0.8025,3:40 PM,0.5874,-0.2152,-21.52,False,
