"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-14 19:03:22  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Wednesday,2026-04-01,TSLA,TSLA260401P00380000,380.0,REAL,3:45 PM,0.39,3:55 PM,0.06,-0.33,3,117.0,-99.0,False,
Wednesday,2026-04-08,TSLA,TSLA260408P00340000,340.0,REAL,3:45 PM,0.09,3:55 PM,0.01,-0.08,12,108.0,-96.0,False,
Wednesday,2026-04-15,TSLA,TSLA260415P00390000,390.0,REAL,3:45 PM,0.05,3:55 PM,0.05,0.0,20,100.0,0.0,False,
Wednesday,2026-04-22,TSLA,TSLA260422P00387500,387.5,SIM,3:45 PM,0.5432,3:55 PM,0.5724,0.0292,2,108.64,5.83,True,
Wednesday,2026-04-29,TSLA,TSLA260429P00375000,375.0,REAL,3:45 PM,2.52,3:55 PM,1.8,-0.72,1,252.0,-72.0,False,
Wednesday,2026-05-06,TSLA,TSLA260506P00400000,400.0,REAL,3:45 PM,0.95,3:55 PM,1.55,0.6,2,190.0,120.0,True,
Wednesday,2026-05-13,TSLA,TSLA260513P00447500,447.5,REAL,3:45 PM,2.8,3:55 PM,2.52,-0.28,1,280.0,-28.0,False,
Wednesday,2026-05-20,TSLA,TSLA260520P00415000,415.0,REAL,3:45 PM,1.0,3:55 PM,0.12,-0.88,1,100.0,-88.0,False,
Wednesday,2026-05-27,TSLA,TSLA260527P00440000,440.0,REAL,3:45 PM,0.93,3:55 PM,0.42,-0.51,2,186.0,-102.0,False,
Wednesday,2026-06-03,TSLA,TSLA260603P00422500,422.5,REAL,3:45 PM,0.45,3:55 PM,0.16,-0.29,3,135.0,-87.0,False,
Wednesday,2026-06-10,TSLA,TSLA260610P00382500,382.5,REAL,3:45 PM,0.68,3:55 PM,0.8,0.12,2,136.0,24.0,True,
Wednesday,2026-02-04,MSFT,MSFT260204P00417500,417.5,REAL,3:20 PM,2.12,3:35 PM,2.5,0.38,1,212.0,38.0,True,
Wednesday,2026-02-11,MSFT,MSFT260211P00405000,405.0,REAL,3:20 PM,0.78,3:35 PM,1.5,0.72,2,156.0,144.0,True,
Wednesday,2026-02-18,MSFT,MSFT260218P00400000,400.0,REAL,3:20 PM,0.94,3:35 PM,0.4,-0.54,2,188.0,-108.0,False,
Wednesday,2026-02-25,MSFT,MSFT260225P00397500,397.5,REAL,3:20 PM,0.17,3:35 PM,0.12,-0.05,6,102.0,-30.0,False,
Wednesday,2026-03-04,MSFT,MSFT260304P00410000,410.0,REAL,3:20 PM,2.5,3:35 PM,2.71,0.21,1,250.0,21.0,True,
