# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)  (by day of week)
# Lookback = 100 calendar days
# Generated 2026-06-12 12:40:22  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Friday,2026-05-15,NVDA,NVDA260515C00230000,230.0,REAL,3:00 PM,0.3,3:05 PM,0.23,-0.07,-7.0,False,
Friday,2026-05-22,NVDA,NVDA260522C00215000,215.0,REAL,3:00 PM,1.02,3:05 PM,1.15,0.13,13.0,True,
Friday,2026-05-29,NVDA,NVDA260529C00217500,217.5,REAL,3:00 PM,0.28,3:05 PM,0.43,0.15,15.0,True,
Friday,2026-06-05,NVDA,NVDA260605C00205000,205.0,REAL,3:00 PM,1.0,3:05 PM,1.46,0.46,46.0,True,
Friday,2026-03-06,TSLA,TSLA260306C00400000,400.0,REAL,3:30 PM,0.08,3:55 PM,0.02,-0.06,-6.0,False,
Friday,2026-03-13,TSLA,TSLA260313C00392500,392.5,REAL,3:30 PM,0.33,3:55 PM,0.15,-0.18,-18.0,False,
Friday,2026-03-20,TSLA,TSLA260320C00367500,367.5,REAL,3:30 PM,0.37,3:55 PM,0.74,0.37,37.0,True,
Friday,2026-03-27,TSLA,TSLA260327C00360000,360.0,REAL,3:30 PM,1.78,3:55 PM,2.18,0.4,40.0,True,
Friday,2026-04-10,TSLA,TSLA260410C00345000,345.0,REAL,3:30 PM,1.3,3:55 PM,3.3,2.0,200.0,True,
Friday,2026-04-17,TSLA,TSLA260417C00402500,402.5,REAL,3:30 PM,0.41,3:55 PM,0.06,-0.35,-35.0,False,
Friday,2026-04-24,TSLA,TSLA260424C00377500,377.5,REAL,3:30 PM,0.29,3:55 PM,0.15,-0.14,-14.0,False,
Friday,2026-05-01,TSLA,TSLA260501C00395000,395.0,REAL,3:30 PM,0.26,3:55 PM,0.01,-0.25,-25.0,False,
Friday,2026-05-08,TSLA,TSLA260508C00427500,427.5,REAL,3:30 PM,0.27,3:55 PM,0.16,-0.11,-11.0,False,
Friday,2026-05-15,TSLA,TSLA260515C00425000,425.0,REAL,3:30 PM,0.36,3:55 PM,0.07,-0.29,-29.0,False,
Friday,2026-05-22,TSLA,TSLA260522C00430000,430.0,REAL,3:30 PM,0.03,3:55 PM,0.01,-0.02,-2.0,False,
Friday,2026-05-29,TSLA,TSLA260529C00435000,435.0,REAL,3:30 PM,0.46,3:55 PM,1.1,0.64,64.0,True,
Friday,2026-06-05,TSLA,TSLA260605C00390000,390.0,REAL,3:30 PM,1.61,3:55 PM,2.38,0.77,77.0,True,
Friday,2026-03-06,MSFT,MSFT260306C00410000,410.0,REAL,3:45 PM,0.17,3:55 PM,0.09,-0.08,-8.0,False,
Friday,2026-03-13,MSFT,MSFT260313C00395000,395.0,REAL,3:45 PM,0.35,3:55 PM,0.6,0.25,25.0,True,
Friday,2026-03-20,MSFT,MSFT260320C00382500,382.5,REAL,3:45 PM,0.5,3:55 PM,0.43,-0.07,-7.0,False,
Friday,2026-03-27,MSFT,MSFT260327C00357500,357.5,REAL,3:45 PM,0.3,3:55 PM,0.37,0.07,7.0,True,
Friday,2026-04-10,MSFT,MSFT260410C00370000,370.0,REAL,3:45 PM,1.37,3:55 PM,1.01,-0.36,-36.0,False,
Friday,2026-04-17,MSFT,MSFT260417C00422500,422.5,REAL,3:45 PM,0.49,3:55 PM,0.86,0.37,37.0,True,
Friday,2026-04-24,MSFT,MSFT260424C00422500,422.5,REAL,3:45 PM,1.7,3:55 PM,2.2,0.5,50.0,True,
Friday,2026-05-01,MSFT,MSFT260501C00415000,415.0,REAL,3:45 PM,1.47,3:55 PM,0.07,-1.4,-140.0,False,
Friday,2026-05-08,MSFT,MSFT260508C00415000,415.0,REAL,3:45 PM,0.38,3:55 PM,0.8,0.42,42.0,True,
Friday,2026-05-15,MSFT,MSFT260515C00425000,425.0,REAL,3:45 PM,0.31,3:55 PM,0.07,-0.24,-24.0,False,
Friday,2026-05-22,MSFT,MSFT260522C00420000,420.0,REAL,3:45 PM,0.04,3:55 PM,0.03,-0.01,-1.0,False,
Friday,2026-05-29,MSFT,MSFT260529C00442500,442.5,REAL,3:45 PM,1.19,3:55 PM,7.0,5.81,581.0,True,
Friday,2026-06-05,MSFT,MSFT260605C00417500,417.5,REAL,3:45 PM,0.22,3:55 PM,0.5,0.28,28.0,True,

SUMMARY BY DAY
day_of_week,ticker,optimal_entry,optimal_exit,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars,best_day,worst_day,skipped_no_data
Friday,AAPL,3:40 PM,3:50 PM,13,8,0.6154,210.0,16.15,103.0,-16.0,0
Friday,NVDA,3:00 PM,3:05 PM,13,7,0.5385,50.0,3.85,46.0,-10.0,0
Friday,TSLA,3:30 PM,3:55 PM,13,5,0.3846,278.0,21.38,200.0,-35.0,0
Friday,MSFT,3:45 PM,3:55 PM,13,7,0.5385,554.0,42.62,581.0,-140.0,0

"DAY COMBINATION COMPARISON (per equity, then ALL combined)"
ticker,combination,days_included,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars
AAPL,Friday only,Friday,13,8,0.6154,210.0,16.15
NVDA,Friday only,Friday,13,7,0.5385,50.0,3.85
TSLA,Friday only,Friday,13,5,0.3846,278.0,21.38
MSFT,Friday only,Friday,13,7,0.5385,554.0,42.62
ALL,Friday only,Friday,52,27,0.5192,1092.0,21.0
