# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:02:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Monday,2025-11-24,AAPL,AAPL251124C00275000,275.0,SIM,3:00 PM,1.5253,3:05 PM,1.7897,0.2644,26.44,True,
Monday,2025-12-01,AAPL,AAPL251201C00282500,282.5,SIM,3:00 PM,0.6171,3:05 PM,0.5284,-0.0887,-8.87,False,
Monday,2025-12-08,AAPL,AAPL251208C00277500,277.5,SIM,3:00 PM,0.5171,3:05 PM,0.4802,-0.0369,-3.69,False,
Monday,2025-12-15,AAPL,AAPL251215C00272500,272.5,SIM,3:00 PM,1.4388,3:05 PM,1.5276,0.0888,8.88,True,
Monday,2025-12-22,AAPL,AAPL251222C00270000,270.0,SIM,3:00 PM,1.4829,3:05 PM,1.4593,-0.0236,-2.36,False,
Monday,2025-12-29,AAPL,AAPL251229C00275000,275.0,SIM,3:00 PM,0.5093,3:05 PM,0.4857,-0.0235,-2.35,False,
Monday,2026-01-05,AAPL,AAPL260105C00267500,267.5,SIM,3:00 PM,0.4667,3:05 PM,0.483,0.0164,1.64,True,
Monday,2026-01-12,AAPL,AAPL260112C00260000,260.0,SIM,3:00 PM,1.5802,3:05 PM,1.4665,-0.1137,-11.37,False,
Monday,2026-01-26,AAPL,AAPL260126C00255000,255.0,SIM,3:00 PM,1.5859,3:05 PM,1.5388,-0.0471,-4.71,False,
Monday,2026-02-02,AAPL,AAPL260202C00267500,267.5,REAL,3:00 PM,1.03,3:05 PM,1.79,0.76,76.0,True,
Monday,2026-02-09,AAPL,AAPL260209C00272500,272.5,REAL,3:00 PM,0.8,3:05 PM,1.02,0.22,22.0,True,
Monday,2026-02-23,AAPL,AAPL260223C00267500,267.5,REAL,3:00 PM,0.14,3:05 PM,0.09,-0.05,-5.0,False,
Monday,2026-03-02,AAPL,AAPL260302C00265000,265.0,REAL,3:00 PM,0.78,3:05 PM,1.08,0.3,30.0,True,
Monday,2026-03-09,AAPL,AAPL260309C00257500,257.5,REAL,3:00 PM,0.34,3:05 PM,0.29,-0.05,-5.0,False,
Monday,2026-03-16,AAPL,AAPL260316C00252500,252.5,REAL,3:00 PM,0.58,3:05 PM,0.44,-0.14,-14.0,False,
Monday,2026-03-23,AAPL,AAPL260323C00252500,252.5,REAL,3:00 PM,0.23,3:05 PM,0.21,-0.02,-2.0,False,
Monday,2026-03-30,AAPL,AAPL260330C00247500,247.5,REAL,3:00 PM,0.11,3:05 PM,0.1,-0.01,-1.0,False,
Monday,2026-04-06,AAPL,AAPL260406C00260000,260.0,REAL,3:00 PM,0.08,3:05 PM,0.06,-0.02,-2.0,False,
Monday,2026-04-13,AAPL,AAPL260413C00257500,257.5,REAL,3:00 PM,0.92,3:05 PM,0.6,-0.32,-32.0,False,
Monday,2026-04-20,AAPL,AAPL260420C00272500,272.5,REAL,3:00 PM,0.61,3:05 PM,0.72,0.11,11.0,True,
Monday,2026-04-27,AAPL,AAPL260427C00267500,267.5,REAL,3:00 PM,0.11,3:05 PM,0.08,-0.03,-3.0,False,
Monday,2026-05-04,AAPL,AAPL260504C00277500,277.5,REAL,3:00 PM,0.11,3:05 PM,0.1,-0.01,-1.0,False,
Monday,2026-05-11,AAPL,AAPL260511C00292500,292.5,REAL,3:00 PM,0.09,3:05 PM,0.06,-0.03,-3.0,False,
Monday,2026-05-18,AAPL,AAPL260518C00297500,297.5,REAL,3:00 PM,0.1,3:05 PM,0.37,0.27,27.0,True,
Monday,2026-06-01,AAPL,AAPL260601C00307500,307.5,REAL,3:00 PM,0.43,3:05 PM,0.43,0.0,0.0,False,
Monday,2026-06-08,AAPL,AAPL260608C00305000,305.0,REAL,3:00 PM,0.57,3:05 PM,0.75,0.18,18.0,True,
Monday,2025-06-16,NVDA,NVDA250616C00145000,145.0,SIM,3:45 PM,0.1315,3:50 PM,0.0553,-0.0763,-7.63,False,
Monday,2025-06-23,NVDA,NVDA250623C00145000,145.0,SIM,3:45 PM,0.0073,3:50 PM,0.0082,0.0009,0.09,True,
Monday,2025-06-30,NVDA,NVDA250630C00160000,160.0,SIM,3:45 PM,0.0005,3:50 PM,0.0004,-0.0001,-0.01,False,
Monday,2025-07-07,NVDA,NVDA250707C00160000,160.0,SIM,3:45 PM,0.0019,3:50 PM,0.0006,-0.0013,-0.13,False,
Monday,2025-07-14,NVDA,NVDA250714C00165000,165.0,SIM,3:45 PM,0.0567,3:50 PM,0.0179,-0.0388,-3.88,False,
Monday,2025-07-21,NVDA,NVDA250721C00170000,170.0,SIM,3:45 PM,1.7733,3:50 PM,1.6963,-0.077,-7.7,False,
Monday,2025-07-28,NVDA,NVDA250728C00175000,175.0,SIM,3:45 PM,0.9582,3:50 PM,0.9303,-0.0279,-2.79,False,
Monday,2025-08-04,NVDA,NVDA250804C00180000,180.0,SIM,3:45 PM,0.1063,3:50 PM,0.0932,-0.0132,-1.32,False,
Monday,2025-08-11,NVDA,NVDA250811C00185000,185.0,SIM,3:45 PM,0.0001,3:50 PM,0.0,-0.0001,-0.01,False,
