# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-08-25,NVDA,NVDA250825C00180000,180.0,SIM,3:45 PM,0.9757,3:50 PM,0.9006,-0.0751,-7.51,False,
2025-08-27,NVDA,NVDA250827C00180000,180.0,SIM,3:45 PM,1.5388,3:50 PM,1.493,-0.0458,-4.58,False,
2025-08-29,NVDA,NVDA250829C00175000,175.0,REAL,3:45 PM,0.03,3:50 PM,0.01,-0.02,-2.0,False,
2025-09-03,NVDA,NVDA250903C00170000,170.0,SIM,3:45 PM,0.1591,3:50 PM,0.1782,0.0191,1.91,True,
2025-09-05,NVDA,NVDA250905C00165000,165.0,REAL,3:45 PM,1.69,3:50 PM,1.9,0.21,21.0,True,
2025-09-08,NVDA,NVDA250908C00170000,170.0,SIM,3:45 PM,0.1176,3:50 PM,0.0324,-0.0851,-8.51,False,
2025-09-10,NVDA,NVDA250910C00175000,175.0,SIM,3:45 PM,2.1718,3:50 PM,2.4559,0.2841,28.41,True,
2025-09-12,NVDA,NVDA250912C00180000,180.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
2025-09-15,NVDA,NVDA250915C00175000,175.0,SIM,3:45 PM,2.1569,3:50 PM,2.1959,0.0391,3.91,True,
2025-09-17,NVDA,NVDA250917C00170000,170.0,SIM,3:45 PM,0.6024,3:50 PM,0.7239,0.1215,12.15,True,
