# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-09-03,AAPL,AAPL250903C00237500,237.5,SIM,3:45 PM,0.5601,3:50 PM,0.5261,-0.034,-3.4,False,
2025-09-05,AAPL,AAPL250905C00240000,240.0,REAL,3:45 PM,0.15,3:50 PM,0.16,0.01,1.0,True,
2025-09-08,AAPL,AAPL250908C00237500,237.5,SIM,3:45 PM,0.5362,3:50 PM,0.4156,-0.1205,-12.05,False,
2025-09-10,AAPL,AAPL250910C00227500,227.5,SIM,3:45 PM,0.0839,3:50 PM,0.0641,-0.0198,-1.98,False,
2025-09-12,AAPL,AAPL250912C00235000,235.0,REAL,3:45 PM,0.02,3:50 PM,0.02,0.0,0.0,False,
2025-09-15,AAPL,AAPL250915C00235000,235.0,SIM,3:45 PM,0.8802,3:50 PM,0.8546,-0.0256,-2.56,False,
2025-09-17,AAPL,AAPL250917C00240000,240.0,SIM,3:45 PM,0.0646,3:50 PM,0.0405,-0.0241,-2.41,False,
2025-09-19,AAPL,AAPL250919C00245000,245.0,REAL,3:45 PM,0.55,3:50 PM,0.85,0.3,30.0,True,
2025-09-22,AAPL,AAPL250922C00255000,255.0,SIM,3:45 PM,1.0388,3:50 PM,1.1232,0.0844,8.44,True,
2025-09-24,AAPL,AAPL250924C00252500,252.5,SIM,3:45 PM,0.1054,3:50 PM,0.2712,0.1658,16.58,True,
2025-09-26,AAPL,AAPL250926C00255000,255.0,REAL,3:45 PM,0.34,3:50 PM,0.29,-0.05,-5.0,False,
2025-09-29,AAPL,AAPL250929C00255000,255.0,SIM,3:45 PM,0.1508,3:50 PM,0.1274,-0.0233,-2.33,False,
2025-10-01,AAPL,AAPL251001C00257500,257.5,SIM,3:45 PM,0.0134,3:50 PM,0.0065,-0.0069,-0.69,False,
2025-10-03,AAPL,AAPL251003C00257500,257.5,REAL,3:45 PM,0.62,3:50 PM,0.35,-0.27,-27.0,False,
2025-10-06,AAPL,AAPL251006C00257500,257.5,SIM,3:45 PM,0.2352,3:50 PM,0.2458,0.0106,1.06,True,
2025-10-08,AAPL,AAPL251008C00257500,257.5,SIM,3:45 PM,0.8161,3:50 PM,0.7933,-0.0228,-2.28,False,
2025-10-10,AAPL,AAPL251010C00247500,247.5,REAL,3:45 PM,0.15,3:50 PM,0.06,-0.09,-9.0,False,
2025-10-13,AAPL,AAPL251013C00247500,247.5,SIM,3:45 PM,0.9663,3:50 PM,0.8622,-0.1041,-10.41,False,
2025-10-15,AAPL,AAPL251015C00250000,250.0,SIM,3:45 PM,0.1904,3:50 PM,0.0605,-0.1299,-12.99,False,
2025-10-17,AAPL,AAPL251017C00252500,252.5,REAL,3:45 PM,0.68,3:50 PM,0.6,-0.08,-8.0,False,
2025-10-20,AAPL,AAPL251020C00262500,262.5,SIM,3:45 PM,1.1942,3:50 PM,1.2623,0.0681,6.81,True,
2025-10-22,AAPL,AAPL251022C00257500,257.5,SIM,3:45 PM,0.4812,3:50 PM,0.6817,0.2005,20.05,True,
2025-10-24,AAPL,AAPL251024C00262500,262.5,REAL,3:45 PM,0.82,3:50 PM,0.7,-0.12,-12.0,False,
2025-10-27,AAPL,AAPL251027C00265000,265.0,SIM,3:45 PM,2.7305,3:50 PM,3.1115,0.381,38.1,True,
2025-10-29,AAPL,AAPL251029C00270000,270.0,SIM,3:45 PM,0.2753,3:50 PM,0.5438,0.2685,26.85,True,
2025-10-31,AAPL,AAPL251031C00272500,272.5,REAL,3:45 PM,0.13,3:50 PM,0.14,0.01,1.0,True,
2025-11-03,AAPL,AAPL251103C00267500,267.5,SIM,3:45 PM,0.7792,3:50 PM,0.4462,-0.3331,-33.31,False,
2025-11-05,AAPL,AAPL251105C00270000,270.0,SIM,3:45 PM,0.1837,3:50 PM,0.1876,0.0039,0.39,True,
2025-11-07,AAPL,AAPL251107C00267500,267.5,REAL,3:45 PM,0.96,3:50 PM,0.71,-0.25,-25.0,False,
2025-11-10,AAPL,AAPL251110C00270000,270.0,SIM,3:45 PM,0.095,3:50 PM,0.0678,-0.0273,-2.73,False,
2025-11-12,AAPL,AAPL251112C00275000,275.0,SIM,3:45 PM,0.1156,3:50 PM,0.1067,-0.0089,-0.89,False,
2025-11-14,AAPL,AAPL251114C00275000,275.0,REAL,3:45 PM,0.02,3:50 PM,0.01,-0.01,-1.0,False,
2025-11-17,AAPL,AAPL251117C00265000,265.0,SIM,3:45 PM,1.7372,3:50 PM,1.9382,0.201,20.1,True,
2025-11-19,AAPL,AAPL251119C00270000,270.0,SIM,3:45 PM,0.2933,3:50 PM,0.0585,-0.2348,-23.48,False,
2025-11-21,AAPL,AAPL251121C00272500,272.5,REAL,3:45 PM,0.07,3:50 PM,0.02,-0.05,-5.0,False,
2025-11-24,AAPL,AAPL251124C00275000,275.0,SIM,3:45 PM,1.8643,3:50 PM,0.8391,-1.0252,-102.52,False,
2025-11-26,AAPL,AAPL251126C00277500,277.5,SIM,3:45 PM,0.9281,3:50 PM,0.5058,-0.4223,-42.23,False,
2025-12-01,AAPL,AAPL251201C00282500,282.5,SIM,3:45 PM,0.4168,3:50 PM,0.3235,-0.0933,-9.33,False,
