"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-14 19:06:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Friday,2026-02-13,TSLA,TSLA260213P00420000,420.0,REAL,3:50 PM,2.47,3:55 PM,3.33,0.86,1,247.0,86.0,True,
Friday,2026-02-20,TSLA,TSLA260220P00410000,410.0,REAL,3:50 PM,0.12,3:55 PM,0.06,-0.06,9,108.0,-54.0,False,
Friday,2026-02-27,TSLA,TSLA260227P00400000,400.0,REAL,3:50 PM,0.17,3:55 PM,0.05,-0.12,6,102.0,-72.0,False,
Friday,2026-03-06,TSLA,TSLA260306P00400000,400.0,REAL,3:50 PM,2.66,3:55 PM,3.2,0.54,1,266.0,54.0,True,
Friday,2026-03-13,TSLA,TSLA260313P00392500,392.5,REAL,3:50 PM,2.29,3:55 PM,0.98,-1.31,1,229.0,-131.0,False,
Friday,2026-03-20,TSLA,TSLA260320P00367500,367.5,REAL,3:50 PM,2.07,3:55 PM,0.31,-1.76,1,207.0,-176.0,False,
Friday,2026-03-27,TSLA,TSLA260327P00360000,360.0,REAL,3:50 PM,0.37,3:55 PM,0.04,-0.33,3,111.0,-99.0,False,
Friday,2026-04-10,TSLA,TSLA260410P00345000,345.0,REAL,3:50 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Friday,2026-04-17,TSLA,TSLA260417P00402500,402.5,REAL,3:50 PM,2.18,3:55 PM,1.92,-0.26,1,218.0,-26.0,False,
Friday,2026-04-24,TSLA,TSLA260424P00377500,377.5,REAL,3:50 PM,0.66,3:55 PM,0.65,-0.01,2,132.0,-2.0,False,
Friday,2026-05-01,TSLA,TSLA260501P00395000,395.0,REAL,3:50 PM,3.2,3:55 PM,4.43,1.23,1,320.0,123.0,True,
Friday,2026-05-08,TSLA,TSLA260508P00427500,427.5,REAL,3:50 PM,2.38,3:55 PM,1.23,-1.15,1,238.0,-115.0,False,
Friday,2026-05-15,TSLA,TSLA260515P00425000,425.0,REAL,3:50 PM,1.7,3:55 PM,2.73,1.03,1,170.0,103.0,True,
Friday,2026-05-22,TSLA,TSLA260522P00430000,430.0,REAL,3:50 PM,5.16,3:55 PM,4.43,-0.73,1,516.0,-73.0,False,
Friday,2026-05-29,TSLA,TSLA260529P00435000,435.0,REAL,3:50 PM,0.21,3:55 PM,0.2,-0.01,5,105.0,-5.0,False,
Friday,2026-06-05,TSLA,TSLA260605P00390000,390.0,REAL,3:50 PM,0.12,3:55 PM,0.08,-0.04,9,108.0,-36.0,False,
Friday,2026-06-12,TSLA,TSLA260612P00402500,402.5,REAL,3:50 PM,0.81,3:55 PM,0.09,-0.72,2,162.0,-144.0,False,
Friday,2026-01-30,MSFT,MSFT260130P00430000,430.0,REAL,3:25 PM,2.8,3:35 PM,2.1,-0.7,1,280.0,-70.0,False,
Friday,2026-02-06,MSFT,MSFT260206P00400000,400.0,REAL,3:25 PM,0.8,3:35 PM,0.62,-0.18,2,160.0,-36.0,False,
Friday,2026-02-13,MSFT,MSFT260213P00402500,402.5,REAL,3:25 PM,1.41,3:35 PM,1.84,0.43,1,141.0,43.0,True,
