"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 730 calendar days
# Trading window = 2-4PM ET
# Generated 2026-06-18 01:13:15  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Friday,2024-11-15,AAPL,AAPL241115C00225000,225.0,REAL,3:40 PM,0.11,3:55 PM,0.23,0.12,10,110.0,120.0,True,
Friday,2024-11-22,AAPL,AAPL241122C00230000,230.0,REAL,3:40 PM,0.04,3:55 PM,0.02,-0.02,25,100.0,-50.0,False,
Friday,2024-11-29,AAPL,,0.0,MISS,3:40 PM,,3:55 PM,,,,,,,missing data (Fri & Thu closed)
Friday,2024-12-06,AAPL,AAPL241206C00242500,242.5,REAL,3:40 PM,0.54,3:55 PM,0.25,-0.29,2,108.0,-58.0,False,
Friday,2024-12-13,AAPL,AAPL241213C00247500,247.5,REAL,3:40 PM,0.67,3:55 PM,0.42,-0.25,2,134.0,-50.0,False,
Friday,2024-12-20,AAPL,AAPL241220C00252500,252.5,REAL,3:40 PM,1.17,3:55 PM,1.59,0.42,1,117.0,42.0,True,
Friday,2024-12-27,AAPL,AAPL241227C00255000,255.0,REAL,3:40 PM,0.19,3:55 PM,0.25,0.06,6,114.0,36.0,True,
Friday,2025-01-03,AAPL,AAPL250103C00242500,242.5,REAL,3:40 PM,0.32,3:55 PM,0.7,0.38,4,128.0,152.0,True,
Friday,2025-01-10,AAPL,AAPL250110C00237500,237.5,REAL,3:40 PM,0.01,3:55 PM,0.03,0.02,100,100.0,200.0,True,
Friday,2025-01-17,AAPL,AAPL250117C00230000,230.0,REAL,3:40 PM,0.05,3:55 PM,0.03,-0.02,20,100.0,-40.0,False,
Friday,2025-01-24,AAPL,AAPL250124C00222500,222.5,REAL,3:40 PM,0.16,3:55 PM,0.29,0.13,7,112.0,91.0,True,
Friday,2025-01-31,AAPL,AAPL250131C00235000,235.0,REAL,3:40 PM,0.1,3:55 PM,0.92,0.82,10,100.0,820.0,True,
Friday,2025-02-07,AAPL,AAPL250207C00227500,227.5,REAL,3:40 PM,0.39,3:55 PM,0.33,-0.06,3,117.0,-18.0,False,
Friday,2025-02-14,AAPL,AAPL250214C00245000,245.0,REAL,3:40 PM,0.03,3:55 PM,0.14,0.11,34,102.0,374.0,True,
Friday,2025-02-21,AAPL,AAPL250221C00247500,247.5,REAL,3:40 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Friday,2025-02-28,AAPL,AAPL250228C00235000,235.0,REAL,3:40 PM,4.6,3:55 PM,6.18,1.58,1,460.0,158.0,True,
Friday,2025-03-07,AAPL,AAPL250307C00240000,240.0,REAL,3:40 PM,0.02,3:55 PM,0.06,0.04,50,100.0,200.0,True,
Friday,2025-03-14,AAPL,AAPL250314C00212500,212.5,REAL,3:40 PM,0.62,3:55 PM,1.09,0.47,2,124.0,94.0,True,
Friday,2025-03-21,AAPL,AAPL250321C00215000,215.0,REAL,3:40 PM,0.45,3:55 PM,3.2,2.75,3,135.0,825.0,True,
Friday,2025-03-28,AAPL,AAPL250328C00217500,217.5,REAL,3:40 PM,0.83,3:55 PM,0.67,-0.16,2,166.0,-32.0,False,
Friday,2025-04-04,AAPL,AAPL250404C00190000,190.0,REAL,3:40 PM,1.58,3:55 PM,0.22,-1.36,1,158.0,-136.0,False,
Friday,2025-04-11,AAPL,AAPL250411C00200000,200.0,REAL,3:40 PM,0.1,3:55 PM,0.03,-0.07,10,100.0,-70.0,False,
Friday,2025-04-18,AAPL,AAPL250417C00200000,200.0,REAL,3:40 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,Fri closed → Thu expiry
Friday,2025-04-25,AAPL,AAPL250425C00207500,207.5,REAL,3:40 PM,0.67,3:55 PM,1.61,0.94,2,134.0,188.0,True,
Friday,2025-05-02,AAPL,AAPL250502C00205000,205.0,REAL,3:40 PM,0.2,3:55 PM,0.19,-0.01,5,100.0,-5.0,False,
Friday,2025-05-09,AAPL,AAPL250509C00200000,200.0,REAL,3:40 PM,0.04,3:55 PM,0.01,-0.03,25,100.0,-75.0,False,
Friday,2025-05-16,AAPL,AAPL250516C00210000,210.0,REAL,3:40 PM,1.32,3:55 PM,1.24,-0.08,1,132.0,-8.0,False,
Friday,2025-05-23,AAPL,AAPL250523C00195000,195.0,REAL,3:40 PM,0.94,3:55 PM,0.39,-0.55,2,188.0,-110.0,False,
Friday,2025-05-30,AAPL,AAPL250530C00200000,200.0,REAL,3:40 PM,0.34,3:55 PM,1.63,1.29,3,102.0,387.0,True,
Friday,2025-06-06,AAPL,AAPL250606C00205000,205.0,REAL,3:40 PM,0.19,3:55 PM,0.03,-0.16,6,114.0,-96.0,False,
Friday,2025-06-13,AAPL,AAPL250613C00200000,200.0,REAL,3:39 PM,0.03,3:54 PM,0.01,-0.02,34,102.0,-68.0,False,
Friday,2025-06-20,AAPL,AAPL250620C00200000,200.0,REAL,3:40 PM,0.32,3:55 PM,1.33,1.01,4,128.0,404.0,True,
Friday,2025-06-27,AAPL,AAPL250627C00200000,200.0,REAL,3:40 PM,1.18,3:55 PM,1.03,-0.15,1,118.0,-15.0,False,
Friday,2025-07-04,AAPL,,0.0,MISS,3:40 PM,,3:55 PM,,,,,,,missing data (Fri & Thu closed)
Friday,2025-07-11,AAPL,AAPL250711C00212500,212.5,REAL,3:40 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,
Friday,2025-07-18,AAPL,AAPL250718C00210000,210.0,REAL,3:40 PM,1.02,3:55 PM,1.11,0.09,1,102.0,9.0,True,
Friday,2025-07-25,AAPL,AAPL250725C00215000,215.0,REAL,3:40 PM,0.01,3:55 PM,0.01,0.0,100,100.0,0.0,False,
Friday,2025-08-01,AAPL,AAPL250801C00202500,202.5,REAL,3:40 PM,0.4,3:55 PM,0.21,-0.19,3,120.0,-57.0,False,
