ticker,entry_date,entry_ref,exit_date,exit_ref,weekly_return,weekly_return_pct,bucket,entry_ref_date,exit_ref_date,entry_fallback,exit_fallback,n_entry_bars,n_exit_bars
NVDA,2024-08-02,106.5635,2024-08-09,104.603,-0.018397,-1.84%,down,2024-08-02,2024-08-09,False,False,10,10
NVDA,2024-08-09,104.603,2024-08-16,124.3455,0.188737,18.87%,up,2024-08-09,2024-08-16,False,False,10,10
NVDA,2024-08-16,124.3455,2024-08-23,128.9975,0.037412,3.74%,up,2024-08-16,2024-08-23,False,False,10,10
NVDA,2024-08-23,128.9975,2024-08-30,119.224,-0.075765,-7.58%,down,2024-08-23,2024-08-30,False,False,10,10
NVDA,2024-08-30,119.224,2024-09-06,102.88,-0.137086,-13.71%,down,2024-08-30,2024-09-06,False,False,10,10
NVDA,2024-09-06,102.88,2024-09-13,119.0215,0.156896,15.69%,up,2024-09-06,2024-09-13,False,False,10,10
NVDA,2024-09-13,119.0215,2024-09-20,116.0365,-0.025080,-2.51%,down,2024-09-13,2024-09-20,False,False,10,10
NVDA,2024-09-20,116.0365,2024-09-27,121.2465,0.044900,4.49%,up,2024-09-20,2024-09-27,False,False,10,10
NVDA,2024-09-27,121.2465,2024-10-04,124.888,0.030034,3.00%,up,2024-09-27,2024-10-04,False,False,10,10
NVDA,2024-10-04,124.888,2024-10-11,134.804,0.079399,7.94%,up,2024-10-04,2024-10-11,False,False,10,10
NVDA,2024-10-11,134.804,2024-10-18,138.003,0.023731,2.37%,up,2024-10-11,2024-10-18,False,False,10,10
NVDA,2024-10-18,138.003,2024-10-25,141.6405,0.026358,2.64%,up,2024-10-18,2024-10-25,False,False,10,10
NVDA,2024-10-25,141.6405,2024-11-01,135.2805,-0.044902,-4.49%,down,2024-10-25,2024-11-01,False,False,10,10
NVDA,2024-11-01,135.2805,2024-11-08,147.607,0.091118,9.11%,up,2024-11-01,2024-11-08,False,False,10,10
NVDA,2024-11-08,147.607,2024-11-15,142.035,-0.037749,-3.77%,down,2024-11-08,2024-11-15,False,False,10,10
NVDA,2024-11-15,142.035,2024-11-22,141.8835,-0.001067,-0.11%,flat,2024-11-15,2024-11-22,False,False,10,10
NVDA,2024-11-22,141.8835,2024-11-29,135.0135,-0.048420,-4.84%,down,2024-11-22,2024-11-27,False,True,10,10
NVDA,2024-11-29,135.0135,2024-12-06,142.2425,0.053543,5.35%,up,2024-11-27,2024-12-06,True,False,10,10
NVDA,2024-12-06,142.2425,2024-12-13,134.036,-0.057694,-5.77%,down,2024-12-06,2024-12-13,False,False,10,10
NVDA,2024-12-13,134.036,2024-12-20,134.152,0.000865,0.09%,flat,2024-12-13,2024-12-20,False,False,10,10
NVDA,2024-12-20,134.152,2024-12-27,136.941,0.020790,2.08%,up,2024-12-20,2024-12-27,False,False,10,10
NVDA,2024-12-27,136.941,2025-01-03,144.3825,0.054341,5.43%,up,2024-12-27,2025-01-03,False,False,10,10
NVDA,2025-01-03,144.3825,2025-01-10,135.896,-0.058778,-5.88%,down,2025-01-03,2025-01-10,False,False,10,10
NVDA,2025-01-10,135.896,2025-01-17,137.764,0.013746,1.37%,flat,2025-01-10,2025-01-17,False,False,10,10
NVDA,2025-01-17,137.764,2025-01-24,142.475,0.034196,3.42%,up,2025-01-17,2025-01-24,False,False,10,10
NVDA,2025-01-24,142.475,2025-01-31,120.113,-0.156954,-15.70%,down,2025-01-24,2025-01-31,False,False,10,10
NVDA,2025-01-31,120.113,2025-02-07,129.757,0.080291,8.03%,up,2025-01-31,2025-02-07,False,False,10,10
NVDA,2025-02-07,129.757,2025-02-14,139.0085,0.071299,7.13%,up,2025-02-07,2025-02-14,False,False,10,10
NVDA,2025-02-14,139.0085,2025-02-21,134.601,-0.031707,-3.17%,down,2025-02-14,2025-02-21,False,False,10,10
NVDA,2025-02-21,134.601,2025-02-28,124.2625,-0.076808,-7.68%,down,2025-02-21,2025-02-28,False,False,10,10
NVDA,2025-02-28,124.2625,2025-03-07,112.465,-0.094940,-9.49%,down,2025-02-28,2025-03-07,False,False,10,10
NVDA,2025-03-07,112.465,2025-03-14,121.3595,0.079087,7.91%,up,2025-03-07,2025-03-14,False,False,10,10
NVDA,2025-03-14,121.3595,2025-03-21,117.209,-0.034200,-3.42%,down,2025-03-14,2025-03-21,False,False,10,10
NVDA,2025-03-21,117.209,2025-03-28,109.6265,-0.064692,-6.47%,down,2025-03-21,2025-03-28,False,False,10,10
NVDA,2025-03-28,109.6265,2025-04-04,94.517,-0.137827,-13.78%,down,2025-03-28,2025-04-04,False,False,10,10
NVDA,2025-04-04,94.517,2025-04-11,110.591,0.170065,17.01%,up,2025-04-04,2025-04-11,False,False,10,10
NVDA,2025-04-11,110.591,2025-04-18,101.194,-0.084971,-8.50%,down,2025-04-11,2025-04-17,False,True,10,10
NVDA,2025-04-18,101.194,2025-04-25,110.776,0.094689,9.47%,up,2025-04-17,2025-04-25,True,False,10,10
NVDA,2025-04-25,110.776,2025-05-02,114.245,0.031315,3.13%,up,2025-04-25,2025-05-02,False,False,10,10
NVDA,2025-05-02,114.245,2025-05-09,116.6735,0.021257,2.13%,up,2025-05-02,2025-05-09,False,False,10,10
NVDA,2025-05-09,116.6735,2025-05-16,135.2015,0.158802,15.88%,up,2025-05-09,2025-05-16,False,False,10,10
NVDA,2025-05-16,135.2015,2025-05-23,131.4285,-0.027906,-2.79%,down,2025-05-16,2025-05-23,False,False,10,10
NVDA,2025-05-23,131.4285,2025-05-30,135.167,0.028445,2.84%,up,2025-05-23,2025-05-30,False,False,10,10
NVDA,2025-05-30,135.167,2025-06-06,141.825,0.049258,4.93%,up,2025-05-30,2025-06-06,False,False,10,10
NVDA,2025-06-06,141.825,2025-06-13,141.7775,-0.000335,-0.03%,flat,2025-06-06,2025-06-13,False,False,10,10
NVDA,2025-06-13,141.7775,2025-06-20,143.6445,0.013169,1.32%,flat,2025-06-13,2025-06-20,False,False,10,10
NVDA,2025-06-20,143.6445,2025-06-27,157.56,0.096875,9.69%,up,2025-06-20,2025-06-27,False,False,10,10
NVDA,2025-06-27,157.56,2025-07-04,157.2315,-0.002085,-0.21%,flat,2025-06-27,2025-07-02,False,True,10,10
NVDA,2025-07-04,157.2315,2025-07-11,165.0355,0.049634,4.96%,up,2025-07-02,2025-07-11,True,False,10,10
NVDA,2025-07-11,165.0355,2025-07-18,172.257,0.043757,4.38%,up,2025-07-11,2025-07-18,False,False,10,10
NVDA,2025-07-18,172.257,2025-07-25,173.5255,0.007364,0.74%,flat,2025-07-18,2025-07-25,False,False,10,10
NVDA,2025-07-25,173.5255,2025-08-01,174.063,0.003098,0.31%,flat,2025-07-25,2025-08-01,False,False,10,10
NVDA,2025-08-01,174.063,2025-08-08,182.683,0.049522,4.95%,up,2025-08-01,2025-08-08,False,False,10,10
NVDA,2025-08-08,182.683,2025-08-15,180.2735,-0.013190,-1.32%,flat,2025-08-08,2025-08-15,False,False,10,10
NVDA,2025-08-15,180.2735,2025-08-22,177.894,-0.013199,-1.32%,flat,2025-08-15,2025-08-22,False,False,10,10
NVDA,2025-08-22,177.894,2025-08-29,173.8655,-0.022646,-2.26%,down,2025-08-22,2025-08-29,False,False,10,10
NVDA,2025-08-29,173.8655,2025-09-05,166.796,-0.040661,-4.07%,down,2025-08-29,2025-09-05,False,False,10,10
NVDA,2025-09-05,166.796,2025-09-12,177.7885,0.065904,6.59%,up,2025-09-05,2025-09-12,False,False,10,10
